Vertical,Primary,On-Primary,Secondary,On-Secondary,Accent,Background,Foreground,Card,Muted,Border,Destructive,Notes
Real Estate/Property,#065F46,#FFFFFF,#1A56DB,#FFFFFF,#B45309,#F9FAFB,#111928,#FFFFFF,#F3F4F6,#E5E7EB,#DC2626,Deep forest green signals land and stability; blue secondary for financing; amber for premium listings. WCAG verified.
Travel/Hospitality,#1A56DB,#FFFFFF,#0E9F6E,#FFFFFF,#FF8A4C,#EFF6FF,#111928,#FFFFFF,#DBEAFE,#BFDBFE,#DC2626,Sky blue evokes open skies; green for confirmed bookings; amber for discovery warmth; sky-tinted muted distinctive. WCAG verified.
Food/Delivery,#D97706,#FFFFFF,#E02424,#FFFFFF,#0E9F6E,#FFFBEB,#111928,#FFFFFF,#FEF3C7,#FDE68A,#B91C1C,Amber stimulates appetite and speed; red secondary for urgency; warm background mirrors food photography. WCAG verified.
Fitness/Wellness,#047857,#FFFFFF,#1A56DB,#FFFFFF,#F05252,#F0FDF4,#111928,#FFFFFF,#DCFCE7,#BBF7D0,#DC2626,Saturated green signals vitality; blue secondary for calm recovery; red for max-effort moments; green-tinted background. WCAG verified.
Non-profit/NGO,#065F46,#FFFFFF,#D97706,#111928,#1A56DB,#F9FAFB,#111928,#FFFFFF,#F3F4F6,#E5E7EB,#DC2626,Deep green signals mission; amber secondary for warmth; blue accent for impact data reporting. WCAG verified.
Government/Civic,#1E3A5F,#FFFFFF,#374151,#FFFFFF,#D97706,#F9FAFB,#111928,#FFFFFF,#F3F4F6,#D1D5DB,#DC2626,Deep navy is the global government convention (GOV.UK/USWDS); slate for dense information; amber for notices. WCAG verified.
Luxury/Fashion,#111928,#F9FAFB,#374151,#F9FAFB,#B45309,#FFFFFF,#111928,#F9FAFB,#F9FAFB,#E5E7EB,#DC2626,Near-black on white is the international luxury language; gold-amber accent for price points. WCAG verified.
Media/Publishing,#111928,#F9FAFB,#E02424,#FFFFFF,#D97706,#FFFFFF,#111928,#F9FAFB,#F3F4F6,#E5E7EB,#B91C1C,Near-black mirrors newspaper conventions; red secondary for breaking news and editorial accents. WCAG verified.
Analytics/BI,#1A56DB,#FFFFFF,#0E9F6E,#FFFFFF,#FF8A4C,#F9FAFB,#111928,#FFFFFF,#F3F4F6,#E5E7EB,#DC2626,Blue primary anchors sequential chart palettes; green for positive delta; amber for cautionary thresholds. WCAG verified.
AI/ML Platform,#4F46E5,#FFFFFF,#7E3AF2,#FFFFFF,#22D3EE,#0F172A,#F8FAFC,#1E293B,#334155,#475569,#EF4444,Indigo on dark — the established AI product visual language; violet secondary; cyan for streaming states. WCAG verified.
Cybersecurity,#1E3A5F,#FFFFFF,#0E9F6E,#FFFFFF,#22D3EE,#0A0A0A,#F8FAFC,#111827,#1F2937,#374151,#EF4444,Deep navy on near-black for monitoring environment; green for all-clear; cyan for network visualization. WCAG verified.
Logistics/Supply Chain,#D97706,#111928,#1A56DB,#FFFFFF,#0E9F6E,#FFFBEB,#111928,#FFFFFF,#FEF3C7,#FDE68A,#DC2626,Amber mirrors high-vis safety conventions; blue secondary for digital tracking; warm background differentiates. WCAG verified.
Insurance,#1E3A5F,#FFFFFF,#0E9F6E,#FFFFFF,#D97706,#F9FAFB,#111928,#FFFFFF,#F3F4F6,#D1D5DB,#DC2626,Navy signals protection and reliability; green for claims approved; amber for upcoming renewals. WCAG verified.
Automotive,#111928,#F9FAFB,#374151,#F9FAFB,#E02424,#F9FAFB,#111928,#FFFFFF,#F3F4F6,#D1D5DB,#B91C1C,Near-black matches premium automotive convention; red accent for performance/sport; silver-gray for chrome surfaces. WCAG verified.
Agriculture/AgriTech,#065F46,#FFFFFF,#D97706,#111928,#1A56DB,#F0FDF4,#111928,#FFFFFF,#DCFCE7,#A7F3D0,#DC2626,Deep green is literal and honest; amber secondary for harvest richness; blue for water management data. WCAG verified.
CleanTech/Sustainability,#047857,#FFFFFF,#1A56DB,#FFFFFF,#D97706,#F0FDF4,#111928,#FFFFFF,#DCFCE7,#BBF7D0,#DC2626,Rich emerald signals genuine environmental commitment; blue for resource tracking; amber for carbon metrics. WCAG verified.
Pharmaceutical,#1E3A5F,#FFFFFF,#0E9F6E,#FFFFFF,#FF8A4C,#F9FAFB,#111928,#FFFFFF,#F3F4F6,#D1D5DB,#DC2626,Regulated navy for clinical authority; green for health-positive states; amber for warnings. WCAG verified.
Architecture/AEC,#374151,#FFFFFF,#D97706,#111928,#1A56DB,#F9FAFB,#111928,#FFFFFF,#F3F4F6,#E5E7EB,#DC2626,Slate evokes material neutrality; amber for material warmth; blue for technical drawing layers. WCAG verified.
Interior Design,#92400E,#FFFFFF,#065F46,#FFFFFF,#1E3A5F,#FFFBEB,#111928,#FFFFFF,#FEF3C7,#FDE68A,#DC2626,Warm terracotta evokes timber and clay; deep green for biophilic moments; warm cream background. WCAG verified.
Music/Audio,#111928,#F9FAFB,#7E3AF2,#FFFFFF,#F05252,#0A0A0A,#F9FAFB,#1F2937,#374151,#4B5563,#EF4444,Near-black dark primary — music is dark-mode-first; violet for discovery; red for recording/live states. WCAG verified.
Photography/Video,#111928,#F9FAFB,#374151,#F9FAFB,#FF8A4C,#0A0A0A,#F9FAFB,#1F2937,#374151,#4B5563,#EF4444,Near-black canvas lets content take center stage; amber accent for active tool states. WCAG verified.
Crypto/Web3,#4F46E5,#FFFFFF,#0E9F6E,#FFFFFF,#F59E0B,#0F172A,#F8FAFC,#1E293B,#334155,#475569,#EF4444,Indigo on dark signals crypto-native aesthetic; green for confirmed transactions; gold for high-value events. WCAG verified.
Marketing/AdTech,#D97706,#111928,#E02424,#FFFFFF,#7E3AF2,#FFFFFF,#111928,#F9FAFB,#FEF3C7,#FDE68A,#B91C1C,Amber signals campaign energy; red for CTAs and limited-offer badges; violet for creative moments. WCAG verified.
Recruitment/HR Tech,#7E3AF2,#FFFFFF,#1A56DB,#FFFFFF,#0E9F6E,#FAF5FF,#111928,#FFFFFF,#F3E8FF,#E9D5FF,#DC2626,Violet signals human potential; navy secondary for employer trust; green for offer extended. WCAG verified.
Customer Support/CX,#0E9F6E,#FFFFFF,#3F83F8,#FFFFFF,#FF8A4C,#F9FAFB,#111928,#FFFFFF,#F3F4F6,#E5E7EB,#DC2626,Green signals resolution; blue for informational knowledge base; amber for escalation alerts. WCAG verified.
E-learning/MOOC,#6875F5,#FFFFFF,#FF8A4C,#FFFFFF,#0E9F6E,#F9FAFB,#111928,#FFFFFF,#EFF6FF,#E0E7FF,#DC2626,Periwinkle primary bridges EdTech energy and SaaS discipline; amber for deadlines; green for completion. WCAG verified.
Telemedicine,#1A56DB,#FFFFFF,#0E9F6E,#FFFFFF,#FF8A4C,#EFF6FF,#111928,#FFFFFF,#DBEAFE,#BFDBFE,#DC2626,Blue signals clinical authority on video calls; green for patient-status OK; sky-blue creates clinical calm. WCAG verified.
Smart Home/IoT,#1E3A5F,#FFFFFF,#0E9F6E,#FFFFFF,#F59E0B,#F9FAFB,#111928,#FFFFFF,#F3F4F6,#E5E7EB,#DC2626,Deep navy signals reliable connectivity; green for device-online states; amber for warnings and energy peaks. WCAG verified.
Manufacturing/Industrial,#374151,#FFFFFF,#D97706,#111928,#1A56DB,#F9FAFB,#111928,#FFFFFF,#F3F4F6,#D1D5DB,#DC2626,Slate mirrors industrial material honesty; amber mirrors high-vis safety conventions; blue for OEE dashboards. WCAG verified.
Construction,#D97706,#111928,#374151,#FFFFFF,#1A56DB,#FFFBEB,#111928,#FFFFFF,#FEF3C7,#FDE68A,#B91C1C,Amber is literal high-vis construction signaling; slate for technical plan review; blue for BIM and site tracking. WCAG verified.
